123,4805557.202,419728.48,1500.732,RD
124,4805575.559,419727.697,1500.17,UMUGUNGUZI
125,4805571.911,419730.983,1498.903,RD
126,4805570.254,419743.915,1497.902,RD
127,4805576.882,419784.243,1499.05,UMUKINGO
128,4805553.137,419747.747,1513.729,UMUKINGO
129,4805542.622,419735.482,1515.986,UMUKINGO
130,4805543.414,419734.738,1512.609,UMUKINGO
131,4805545.999,419732.36,1511.134,UMUKINGO
132,4805554.343,419742.007,1507.57,UMUKINGO
133,4805555.849,419734.415,1505.344,UMUKINGO
134,4805569.669,419752.348,1502.911,UMUKINGO
135,4805568.109,419757.642,1501.648,UMUKINGO
136,4805559.165,419768.095,1508.047,P
137,4805599.631,420008.645,1539.904,P
138,4805601.009,420021.868,1544.443,P
139,4805601.675,420033.747,1555.161,UMUGUNGUZI
140,4805608.794,420045.964,1560.283,P
141,4805626.144,420064.3,1556.482,LINE
142,4805636.645,420066.749,1553.001,P
143,4805642.482,420067.316,1551.829,EX LINE
144,4805630.364,420089.446,1558.006,POTO
145,4805624.881,420101.159,1560.351,EX LINE
146,4805637.346,420108.352,1555.446,LINE
147,4805649.357,420108.085,1550.34,P
148,4805648.722,420115.892,1550.747,UMGUNGUZI
149,4805643.246,420131.443,1550.934,LINE
150,4805657.786,420130.262,1544.082,P
151,4805656.352,420149.673,1543.852,P
152,4805649.722,420156.614,1547.119,LINE
153,4805637.076,420159.832,1551.38,P
154,4805632.06,420166.876,1556.065,P
155,4805633.7,420176.262,1554.701,P
156,4805637.18,420177.222,1553.43,P
157,4805654.908,420176.634,1543.89,LINE
158,4805669.08,420174.089,1536.167,P
159,4805672.72,420194.055,1534.839,P
160,4805677.975,420216.203,1532.382,UMUG
161,4805666.318,420221.408,1537.064,LINE
162,4805657.479,420223.358,1541.916,P
163,4805656.211,420232.863,1542.469,P
164,4805657.194,420240.718,1542.451,P
165,4805661.26,420243.127,1539.572,P
166,4805672.355,420244.951,1534.984,LINE
167,4805684.272,420234.19,1529.342,P
168,4805689.651,420245.651,1528.019,UMUGEZI
169,4805690.069,420247.369,1527.863,UMUGEZI
170,4805676.906,420262.753,1535.178,UMUGEZI
171,4805677.092,420263.528,1535.526,UMUGEZI
172,4805668.127,420276.637,1542.011,P
173,4805664.608,420283.502,1546.248,P
174,4805671.668,420289.935,1548.575,P
175,4805683.345,420287.905,1546.128,LINE
176,4805698.181,420281.466,1542.219,P
177,4805703.792,420296.26,1549.902,UMGUNGUZI
178,4805702.227,420309.527,1558.454,UMGUNGUZI
179,4805686.09,420298.424,1553.175,LINE
180,4805675.135,420304.548,1557.471,P
181,4805674.862,420315.31,1563.359,P
182,4805675.575,420324.737,1570.24,P
183,4805694.966,420333.367,1574.843,LINE
184,4805711.294,420333.615,1574.246,P
185,4805713.388,420347.754,1582.267,UMGUNGUZI
186,4805715.625,420349.48,1584.71,UMGUNGUZI
187,4805699.878,420352.305,1586.797,UMGUNGUZI
188,4805681.109,420350.788,1586.911,P
189,4805692.094,420373.205,1595.81,P
190,4805704.991,420369.407,1593.741,P
191,4805720.646,420365.403,1591.574,BT
192,4805713.861,420369.727,1594.928,BT
193,4805706.242,420377.199,1600.068,BT
194,4805692.201,420378.303,1600.967,BT
195,4805692.836,420396.243,1608.922,P
196,4805711.969,420399.589,1609.236,LINE
197,4805717.04,420399.28,1609.251,H
198,4805728.016,420398.739,1609.079,H
199,4805717.626,420406.563,1609.582,H
200,4805699.837,420422.087,1618.011,H
201,4805699.976,420422.094,1618.042,BT
202,4805700.32,420423.272,1619.354,BT
203,4805719.344,420428.484,1620.33,LINE
204,4805738.339,420430.854,1624.576,P
205,4805738.339,420430.854,1624.576,P
206,4805731.033,420434.298,1623.974,BT
207,4805730.365,420434.929,1625.289,BT
208,4805743.55,420443.813,1631.767,P
209,4805727.843,420462.675,1642.52,LINE
210,4805727.843,420462.675,1642.52,P
211,4805714.983,420472.862,1646.508,P
212,4805730.135,420493.206,1659.03,H
213,4805719.481,420500.491,1659.194,H
214,4805734.594,420498.991,1659.388,H
215,4805737.114,420497.836,1659.97,LINE
216,4805756.88,420493.397,1660.127,P
217,4805753.875,420517.815,1669.417,P
218,4805743.532,420523.222,1670.506,H
219,4805744.693,420528.823,1671.059,H
220,4805737.29,420530.793,1671.792,H
221,4805730.054,420540.025,1674.062,P
222,4805739.316,420559.477,1683.135,P
223,4805752.949,420560.029,1682.896,LINE
224,4805773.595,420571.485,1683.206,P
225,4805773.236,420582.908,1690.098,P
226,4805755.517,420605.53,1699.74,P
227,4805765.427,420608.152,1700.146,LINE
228,4805771.783,420618.006,1702.807,P
229,4805774.868,420645.455,1708.016,LINE
230,4805776.785,420640.462,1705.9,LINE
231,4805789.851,420653.428,1702.827,P
232,4805787.965,420660.376,1704.97,LINE
233,4805784.002,420681.439,1711.099,P
234,4805788.321,420694.272,1708.632,P
235,4805805.918,420711.181,1701.174,P
236,4805820.939,420719.216,1693.402,L
237,4805805.542,420761.057,1696.612,P
238,4805838.157,420790.414,1681.382,P
239,4805853.46,420791.547,1671.967,RUH
240,4805863.585,420795.587,1666.865,L
241,4805875.095,420813.595,1660.978,P
242,4805872.688,420841.568,1661.559,P
243,4805884.922,420860.993,1646.992,P
244,4805884.922,420860.993,1646.992,P
245,4805894.729,420850.886,1645.751,LINE
246,4805902.925,420843.039,1644.013,P
247,4805909.574,420852.275,1637.082,P
248,4805909.481,420877.172,1629.601,LINE
249,4805900.173,420890.205,1630.39,P
250,4805914.057,420901.769,1619.452,P
251,4805917.789,420906.553,1621.667,UMUGEZI
252,4805922.821,420901.115,1618.731,UMUGEZI
253,4805932.242,420890.35,1613.862,UMUGEZI
254,4805934.302,420890.92,1612.602,UMUGEZI
255,4805925.203,420909.351,1617.91,UMUGEZI
256,4805915.578,420921.637,1624.563,UMUGEZI
257,4805925.764,420927.912,1629.177,P
258,4805935.548,420922.847,1627.718,LINE
259,4805935.675,420923.855,1625.23,LINE
260,4805955.503,420915.396,1630.512,P
261,4805957.558,420948.77,1641.481,P
262,4805951.957,420952.952,1642.645,LINE
263,4805942.641,420958.779,1646.171,P
264,4805943.7,420964.347,1650.746,P
265,4805953.633,420978.251,1657.959,P
266,4805958.258,420982.876,1661.579,H
267,4805953.802,420983.036,1661.665,H
268,4805945.938,420986.017,1661.054,H
269,4805949.359,420994.894,1661.805,H
270,4805961.483,420992.728,1664.152,H
271,4805975.095,420994.169,1667.128,LINE
272,4805994.451,420993.872,1668.971,P
273,4805999.954,421023.059,1663.783,P
274,4805992.941,421025.892,1662.159,L
275,4805986.37,421037.348,1659.998,P
276,4805992.421,421034.548,1661.775,UMUGEZI
277,4805992.6,421035.857,1661.82,UMUGEZI
278,4805998.526,421035.994,1662.422,UMUGEZI
279,4805999.027,421036.834,1662.257,UMUGEZI
280,4806016.133,421034.113,1663.377,UMUGEZI
281,4806016.161,421033.053,1663.185,UMUGEZI
282,4806011.933,421059.895,1665.795,LINE
283,4806009.979,421085.295,1675.199,P
284,4806024.738,421082.78,1674.333,L
285,4806050.421,421101.011,1678.751,P
286,4806053.133,421133.375,1691.376,LINE
287,4806061.134,421147.658,1697.182,EX LINE
288,4806079.128,421139.851,1692.302,EX LINE
289,4806042.891,421153.82,1702.503,EX LINE
290,4806069.487,421175.401,1704.345,P
291,4806077.277,421176.351,1703.198,LINE
292,4806087.495,421194.593,1711.788,LINE
293,4806094.783,421215.676,1722.412,P
294,4806101.736,421220.121,1723.505,L
295,4806095.406,421228.086,1729.171,P
296,4806115.284,421244.307,1735.624,L
297,4806132.432,421252.946,1737.765,P
298,4806119.979,421289.794,1758.67,IKIGEG
299,4806116.887,421290.32,1759.36,IKIGEG
300,4806117.389,421292.486,1760.505,IKIGEG
301,4806120.559,421291.718,1759.509,IKIGEG
302,4806129.613,421293.203,1759.712,P
303,4806145.279,421297.876,1760.895,LINE
304,4806159.086,421305.553,1760.249,P
305,4806148.818,421303.991,1762.446,AP
306,4806153.57,421312.333,1762.858,LINE
307,4806142.483,421326.578,1769.544,H
308,4806136.474,421331.075,1770.541,H
309,4806150.725,421334.855,1769.251,H
310,4806153.604,421337.954,1767.907,H
311,4806165.185,421331.424,1765.836,H
