Count,Name,Color,Hyperlink,Layer,Linetype,Linetype Scale,Lineweight,Plot Style,Position X,Position Y,Position Z,ALT,COD,MAT
1,TCPOINT,ByLayer,,Points,ByLayer,1.0000,ByLayer,ByLayer,420081.4700,4805630.5200,1557.6400,1557.640,,T3(NEW).1
1,Attribute Definition,ByLayer,,TopoAlt,ByLayer,1.0000,ByLayer,ByLayer,419765.2600,4805549.2400,1511.5700,,,
1,Point,ByBlock,,0,ByLayer,1.0000,ByLayer,ByBlock,419765.1600,4805549.5400,1511.5700,,,
1,Attribute Definition,ByLayer,,TopoMat,ByLayer,1.0000,ByLayer,ByLayer,419765.2600,4805549.6400,1511.5700,,,
1,Point,ByBlock,,0,ByLayer,1.0000,ByLayer,ByBlock,420081.4700,4805630.5200,1557.6400,,,
1,TCPOINT,ByLayer,,Points,ByLayer,1.0000,ByLayer,ByLayer,420399.5400,4805711.9500,1609.6100,1609.610,,T.4
1,Point,ByBlock,,0,ByLayer,1.0000,ByLayer,ByBlock,420399.5400,4805711.9500,1609.6100,,,
1,Attribute Definition,ByLayer,,TopoCod,ByLayer,1.0000,ByLayer,ByLayer,420081.3700,4805630.4200,1557.6400,,,
1,Attribute Definition,ByLayer,,TopoMat,ByLayer,1.0000,ByLayer,ByLayer,420081.5700,4805630.6200,1557.6400,,,
1,Attribute Definition,ByLayer,,TopoAlt,ByLayer,1.0000,ByLayer,ByLayer,420081.5700,4805630.2200,1557.6400,,,
1,Attribute Definition,ByLayer,,TopoAlt,ByLayer,1.0000,ByLayer,ByLayer,420630.1800,4805770.6700,1706.1300,,,
1,Attribute Definition,ByLayer,,TopoCod,ByLayer,1.0000,ByLayer,ByLayer,420629.9800,4805770.8700,1706.1300,,,
1,Attribute Definition,ByLayer,,TopoMat,ByLayer,1.0000,ByLayer,ByLayer,420630.1800,4805771.0700,1706.1300,,,
1,TCPOINT,ByLayer,,Points,ByLayer,1.0000,ByLayer,ByLayer,420630.0800,4805770.9700,1706.1300,1706.130,,T.5
1,Point,ByBlock,,0,ByLayer,1.0000,ByLayer,ByBlock,420630.0800,4805770.9700,1706.1300,,,
1,TCPOINT,ByLayer,,Points,ByLayer,1.0000,ByLayer,ByLayer,419617.3600,4805580.0900,1467.7800,1467.780,,T.1
1,Attribute Definition,ByLayer,,TopoCod,ByLayer,1.0000,ByLayer,ByLayer,419617.2600,4805579.9900,1467.7800,,,
1,TCPOINT,ByLayer,,Points,ByLayer,1.0000,ByLayer,ByLayer,419765.1600,4805549.5400,1511.5700,1511.570,,T.2
1,Attribute Definition,ByLayer,,TopoAlt,ByLayer,1.0000,ByLayer,ByLayer,419617.4600,4805579.7900,1467.7800,,,
1,Point,ByBlock,,0,ByLayer,1.0000,ByLayer,ByBlock,419617.3600,4805580.0900,1467.7800,,,
1,Attribute Definition,ByLayer,,TopoMat,ByLayer,1.0000,ByLayer,ByLayer,419617.4600,4805580.1900,1467.7800,,,
1,Attribute Definition,ByLayer,,TopoMat,ByLayer,1.0000,ByLayer,ByLayer,420399.6400,4805712.0500,1609.6100,,,
1,Attribute Definition,ByLayer,,TopoMat,ByLayer,1.0000,ByLayer,ByLayer,421305.1200,4806147.1400,1762.9300,,,
1,Attribute Definition,ByLayer,,TopoAlt,ByLayer,1.0000,ByLayer,ByLayer,421305.1200,4806146.7400,1762.9300,,,
1,Point,ByBlock,,0,ByLayer,1.0000,ByLayer,ByBlock,421305.0200,4806147.0400,1762.9300,,,
1,Attribute Definition,ByLayer,,TopoCod,ByLayer,1.0000,ByLayer,ByLayer,420998.7800,4805976.3700,1666.2900,,,
1,TCPOINT,ByLayer,,Points,ByLayer,1.0000,ByLayer,ByLayer,421305.0200,4806147.0400,1762.9300,1762.930,,T.8
1,Attribute Definition,ByLayer,,TopoCod,ByLayer,1.0000,ByLayer,ByLayer,421304.9200,4806146.9400,1762.9300,,,
1,Attribute Definition,ByLayer,,TopoAlt,ByLayer,1.0000,ByLayer,ByLayer,421464.7300,4806239.2300,1721.5400,,,
1,Attribute Definition,ByLayer,,TopoCod,ByLayer,1.0000,ByLayer,ByLayer,421464.5300,4806239.4300,1721.5400,,,
1,Attribute Definition,ByLayer,,TopoMat,ByLayer,1.0000,ByLayer,ByLayer,421464.7300,4806239.6300,1721.5400,,,
1,TCPOINT,ByLayer,,Points,ByLayer,1.0000,ByLayer,ByLayer,421464.6300,4806239.5300,1721.5400,1721.540,,T.9(N).1
1,Point,ByBlock,,0,ByLayer,1.0000,ByLayer,ByBlock,421464.6300,4806239.5300,1721.5400,,,
1,Point,ByBlock,,0,ByLayer,1.0000,ByLayer,ByBlock,420780.7600,4805854.9300,1672.3800,,,
1,Attribute Definition,ByLayer,,TopoMat,ByLayer,1.0000,ByLayer,ByLayer,420780.8600,4805855.0300,1672.3800,,,
1,TCPOINT,ByLayer,,Points,ByLayer,1.0000,ByLayer,ByLayer,420780.7600,4805854.9300,1672.3800,1672.380,,T.6
1,Attribute Definition,ByLayer,,TopoAlt,ByLayer,1.0000,ByLayer,ByLayer,420399.6400,4805711.6500,1609.6100,,,
1,Attribute Definition,ByLayer,,TopoCod,ByLayer,1.0000,ByLayer,ByLayer,420399.4400,4805711.8500,1609.6100,,,
1,Attribute Definition,ByLayer,,TopoAlt,ByLayer,1.0000,ByLayer,ByLayer,420780.8600,4805854.6300,1672.3800,,,
1,Attribute Definition,ByLayer,,TopoMat,ByLayer,1.0000,ByLayer,ByLayer,420998.9800,4805976.5700,1666.2900,,,
1,Attribute Definition,ByLayer,,TopoAlt,ByLayer,1.0000,ByLayer,ByLayer,420998.9800,4805976.1700,1666.2900,,,
1,Point,ByBlock,,0,ByLayer,1.0000,ByLayer,ByBlock,420998.8800,4805976.4700,1666.2900,,,
1,Attribute Definition,ByLayer,,TopoCod,ByLayer,1.0000,ByLayer,ByLayer,420780.6600,4805854.8300,1672.3800,,,
1,TCPOINT,ByLayer,,Points,ByLayer,1.0000,ByLayer,ByLayer,420998.8800,4805976.4700,1666.2900,1666.290,,T.7
